"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","PC1","PC1_category"
"ts21599","Ink Master","SHOW","Hosted by rock legend Dave Navarro and judged by icons of the tattoo world, Chris Núñez and Oliver Peck, a group of the country's most creative and skilled tattoo artists compete for a hundred thousand dollars and the title of Ink Master. The stakes couldn't be higher with ""living canvasses"" donating their skin to be permanently marked in this adrenalized competition elimination.",2012,"TV-14",42,"['reality']","['US']",13,"tt1865740",7.4,3874,23.186,7.9,-1.01945671024906,"Low"
"ts33338","Top Boy","SHOW","A thrilling and raw crime drama following a gang of drug dealers in Hackney, London - an honest and gripping rendition of inner-city drug and gang culture.",2011,"TV-MA",48,"['drama', 'thriller', 'crime', 'european']","['GB']",2,"tt1830379",8.4,22420,18.036,7.4,-1.36708105343565,"Low"
"ts32835","Hunter x Hunter","SHOW","Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",2011,"TV-14",23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']","['JP']",3,"tt2098220",9,87857,117.924,8.8,-3.02027138324866,"Low"
"ts17598","Arrow","SHOW","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012,"TV-14",42,"['action', 'crime', 'drama', 'scifi']","['US']",8,"tt2193021",7.5,425716,125.061,6.7,-2.32624110803875,"Low"
"ts20457","The Legend of Korra","SHOW","Avatar Korra, a headstrong, rebellious, feisty young woman who continually challenges and breaks with tradition, is on her quest to become a fully realized Avatar. In this story, the Avatar struggles to find balance within herself.",2012,"TV-Y7",23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']","['US']",4,"tt1695360",8.4,117464,63.789,8.3,-2.36673721121318,"Low"
"ts20429","Sword Art Online","SHOW","In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",2012,"TV-MA",23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']","['JP']",4,"tt2250192",7.6,43727,73.783,8.3,-1.65051587589548,"Low"
"ts6506","The Borgias","SHOW","Set in 15th century Italy at the height of the Renaissance, The Borgias chronicles the corrupt rise of patriarch Rodrigo Borgia to the papacy, where he proceeds to commit every sin in the book to amass and retain power, influence and enormous wealth for himself and his family.",2011,"TV-MA",51,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",3,"tt1582457",7.9,50556,23.185,7.6,-1.31819012992735,"Low"
"ts20458","Ninjago: Masters of Spinjitzu","SHOW","When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.",2012,"TV-Y7",17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']","['DK', 'US']",15,"tt1871731",7.2,4519,60.536,7.8,-0.953418962829783,"Low"
"ts34087","Puella Magi Madoka Magica","SHOW","She has a loving family and best friends, laughs and cries from time to time... Madoka Kaname, an eighth grader of Mitakihara middle school, is one of those who lives such a life. One day, she had a very magical encounter. She doesn't know if it happened by chance or by fate yet. This is a fateful encounter that can change her destiny. This is a beginning of the new story of the magical witch girls.",2011,"TV-14",24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']","['JP']",1,"tt1773185",8.3,9055,17.086,8.2,-1.70390507320573,"Low"
"ts27468","Transformers: Rescue Bots","SHOW","A team of specialized Autobots not quite ready for prime-time battles against the Decepticons is given a vital mission by Optimus Prime. The goal for the Bots is to learn about mankind and how to help others to find out what it really means to be a hero.",2012,"TV-Y7",22,"['action', 'scifi', 'comedy', 'family', 'animation']","['US']",4,"tt2139371",6.4,915,18.838,8.3,-0.650795413644572,"Low"
"ts20556","Teen Mom 2","SHOW","Jenelle, Chelsea, Kailyn, and Leah are four young women navigating complicated lives. It's not always easy being a young mom.",2011,"TV-14",41,"['reality', 'romance', 'documentation', 'comedy']","['US']",11,"tt1821220",4.5,28,24.248,6.6,1.37322400952521,"High"
